"word";"freq";"color"
"Film";52;0.385
"Sad";30;-1.000
"Big";20;1.000
"Hero";18;1.000
"Do";17;0.529
"Friends";17;-0.176
"Together";13;0.231
"Adventure";13;0.538
"Relaxed";13;-1.000
"Play";12;0.167
"Parents";12;-0.500
"Calm";12;-1.000
"Romantic partner";11;-0.273
"Instrument";11;-0.818
"Tasks";10;0.000
"Positive";9;0.778
"Ready";9;1.000
"Fight";9;1.000
"Strength";9;1.000
"Scene";9;0.333
"Funeral";9;-1.000
"Motivated";8;1.000
"Win";8;1.000
"Band";8;1.000
"Liked";8;0.750
"Accomplish";8;1.000
"Grandparents";8;-0.750
"Flowers";8;-0.500
"Run";7;1.000
"Listen";7;-0.143
"Inspired";7;1.000
"Good";7;1.000
"Pulse";7;-1.000
"Breakups";6;-1.000
"Family";6;-0.667
